longitude,latitude,flood_label,elevation,slope,aspect,flow_accumulation,twi,curvature,mean_annual_rainfall,mean_rainy_days,extreme_rain_freq,lulc,ndvi,soil_permeability,distance_to_river,distance_to_drainage,gpm_antecedent_rainfall
3.313570672767473,6.440785839844351,1,4.448073,2.8290455,122.85287,11.893524,3.2689738,0.5942827,1685.709,123.2,1.7,50.0,0.1514901,23.408573,591.4266,82.92545,62.36625
3.3227334886654925,6.417609305514068,1,0.7110164,5.0080028,137.88452,1.0,2.5241313,5.00787,1685.709,123.2,1.7,50.0,0.2186322,25.24069,9115.807,115.8754,62.36625
3.227871394662471,6.475281146754542,1,8.850928,2.6733718,169.78824,1.0,3.4403117,-0.17920119,1572.0745,124.3,1.3,30.0,0.32416952,31.0,19341.416,709.6739,55.355
3.306563813551341,6.442672301941003,1,5.3615546,3.3793452,199.67453,1.0,2.9537177,-1.3917514,1685.709,123.2,1.7,50.0,0.28510085,27.768654,3372.9404,133.51799,62.36625
3.2938975680452556,6.498188186499589,1,2.503458,3.0068727,146.76097,1.0,3.0779004,-0.18533005,1551.5386,125.8,1.4,50.0,0.19215903,28.486944,1386.0684,127.06419,56.343372
3.238651178071905,6.4486011828161915,1,6.1686745,2.6481984,207.81427,1.0,3.247289,1.0850126,1748.6932,122.2,2.3,50.0,0.058139537,27.670195,7337.823,332.61697,55.355
3.27476345249351,6.496571218988174,1,3.9436748,2.457398,195.68684,1.60864,3.6713932,1.7614512,1551.5386,125.8,1.4,50.0,0.19051263,32.18848,11905.761,468.41577,55.355
3.2825787954653496,6.506273024056665,1,11.509049,1.7530025,145.38312,1.0,3.6316948,-0.14140677,1635.545,126.7,1.8,50.0,0.43184614,28.0,7898.259,376.65118,60.66
3.314109661937945,6.447523204475248,1,1.3172805,5.853389,147.45071,560.0,9.032262,-0.14122388,1685.709,123.2,1.7,50.0,0.06517626,21.169725,0.0,76.73967,62.36625
3.2790753658572838,6.4472537098900125,1,4.6884146,2.486515,165.71375,5.3792496,5.059784,0.73938173,1709.9641,123.4,1.7,50.0,0.12181971,26.178902,14535.894,226.91809,55.355
3.272607495811623,6.477437103436428,1,6.4092917,2.7543612,155.94803,1.0,3.1113927,-2.011948,1551.5386,125.8,1.4,50.0,0.1590064,29.817146,13408.573,631.50476,55.355
3.295514535556671,6.406290532934162,1,13.227895,2.4605956,179.33473,3.5485344,4.54217,-1.5312344,1709.9641,123.4,1.7,30.0,0.18575186,20.884193,20995.89,97.67983,55.355
3.2381121889014333,6.522981688341288,1,12.1780815,2.491424,147.62616,6.321692,5.053655,-2.127585,1690.8632,125.5,2.0,50.0,0.15333702,27.5,3402.4329,1805.2404,60.66
3.2416156185094995,6.446175731549069,1,3.8348632,3.2057066,172.2851,4.040009,3.8147848,1.6439745,1748.6932,122.2,2.3,30.0,0.33470878,28.88091,7412.3667,338.51956,55.355
3.2491614668961035,6.454260569106145,1,6.1590824,2.1120963,164.298,2.6900368,4.4244637,0.8322569,1572.0745,124.3,1.3,50.0,0.1263089,27.0,13442.499,455.49826,55.355
3.232991791781952,6.443211291111474,1,5.075062,1.4405392,151.4251,1.9959849,4.560839,-0.9088676,1748.6932,122.2,2.3,50.0,0.35602388,27.202745,3414.1191,91.30639,55.355
3.239190167242377,6.457225009543739,1,5.7583847,1.4910963,160.57765,1.0,3.7393572,0.5073501,1572.0745,124.3,1.3,50.0,0.13192323,27.957708,11967.326,510.00317,55.355
3.220595040861103,6.459380966225626,1,7.8638577,1.7187788,117.5802,2.71683,4.4626045,0.5658645,1572.0745,124.3,1.3,50.0,0.19672132,25.5,13382.071,457.68936,55.355
3.2717990120559155,6.502230605278127,1,9.415874,3.3607035,130.79216,1.0,2.989507,-2.704859,1635.545,126.7,1.8,50.0,0.14191534,30.5,13909.511,641.9857,60.66
3.29686200848285,6.450487644912843,1,4.157759,3.7424002,87.878044,6.0,4.6131516,3.1713808,1551.5386,125.8,1.4,50.0,0.14173134,23.0,6344.1255,393.1335,55.355
3.2739549687378022,6.519747753318458,1,16.231773,2.2729824,113.85648,1.0,3.4394662,-0.47976345,1635.545,126.7,1.8,50.0,0.12945738,28.5,14002.158,896.23126,60.66
3.2769194091753966,6.468813276708881,1,11.350949,2.8052657,176.80327,1.0,3.2498868,-0.3858852,1551.5386,125.8,1.4,50.0,0.085545726,24.903885,10903.885,597.5787,55.355
3.315996124034596,6.436473926480578,1,0.42919514,1.8883462,101.74813,130.42122,8.562148,-0.36095282,1685.709,123.2,1.7,50.0,0.0927677,18.498724,733.9015,57.798717,62.36625
3.2806923333686986,6.518400280392278,1,11.470762,2.682869,180.18912,2.0,4.1077313,-0.86484843,1635.545,126.7,1.8,50.0,0.36591464,30.489216,10728.447,761.7817,60.66
