osm_id,name,category,risk_tier,risk_label,longitude,latitude
1258165093,Unnamed,building,4.0,Very High,3.3142122,6.4441513
1267537744,Unnamed,building,4.0,Very High,3.2274442,6.4558441
1263643918,Unnamed,building,1.0,Low,3.2375701,6.520473
1258204308,Unnamed,building,4.0,Very High,3.2568556,6.4523354
1257593295,Unnamed,building,4.0,Very High,3.304749,6.4680111
1261810703,Unnamed,building,2.0,Moderate,3.2551216,6.5198809
1258675828,Unnamed,building,4.0,Very High,3.2714659,6.458925
1275699813,Unnamed,building,2.0,Moderate,3.2962657,6.5176106
1258269685,Unnamed,building,3.0,High,3.2751633,6.437592
1258327274,Unnamed,building,4.0,Very High,3.2578848,6.4587552
1258197009,Unnamed,building,1.0,Low,3.2942938,6.4629153
1267761840,Unnamed,building,3.0,High,3.2192862,6.4441719
1267703589,Unnamed,building,3.0,High,3.2173745,6.4435095
713775747,Unnamed,building,4.0,Very High,3.2762521,6.4519564
1259319346,Unnamed,building,3.0,High,3.2772833,6.5001467
1276182454,Unnamed,building,4.0,Very High,3.299882,6.5043001
1262895596,Unnamed,building,3.0,High,3.2711105,6.4995713
1262708423,Unnamed,building,3.0,High,3.2570274,6.4948121
1276411899,Unnamed,building,3.0,High,3.3016629,6.4979143
1267572939,Unnamed,building,2.0,Moderate,3.2296107,6.452225
1257539070,Unnamed,building,4.0,Very High,3.3025664,6.4773774
1257436689,Unnamed,building,4.0,Very High,3.2641751,6.4355831
1257893734,Unnamed,building,3.0,High,3.2914581,6.4698893
1258144861,Unnamed,building,2.0,Moderate,3.2491962,6.4636467
1257794163,Unnamed,building,4.0,Very High,3.2713378,6.4654859
1276501898,Unnamed,building,3.0,High,3.3072219,6.4875538
1258715976,Unnamed,building,4.0,Very High,3.270857,6.4641423
1262130106,Unnamed,building,3.0,High,3.2780284,6.5118888
1267033244,Unnamed,building,4.0,Very High,3.3011343,6.4769826
1258298724,Unnamed,building,2.0,Moderate,3.2604383,6.4217074
1260681394,Unnamed,building,2.0,Moderate,3.2500984,6.5181125
1263407774,Unnamed,building,3.0,High,3.2812408,6.5054145
1262188680,Unnamed,building,2.0,Moderate,3.2289889,6.5039753
1257530300,Unnamed,building,3.0,High,3.2494604,6.4486901
1263484680,Unnamed,building,3.0,High,3.275657,6.5046919
1258379903,Unnamed,building,0.0,NoData,3.2659717,6.4244634
1258691687,Unnamed,building,4.0,Very High,3.2703929,6.4617223
1276230508,Unnamed,building,2.0,Moderate,3.3022919,6.5033856
995060435,Unnamed,building,3.0,High,3.3155658,6.4168312
1260627091,Unnamed,building,3.0,High,3.2425954,6.510787
1258203908,Unnamed,building,4.0,Very High,3.255996,6.4529367
